"Szamlaazon","Datum","Szamlaszam","Perertek","Datumtol","Datumig","Vevoazon","Nyomtatva","Tipus","Masikszamla","Fizhatido","Teljesitve","Fizetesmod","Szoveg1","Szoveg2","Masikszamlaperertek","SzamlaszamStr","Elotag","Szlahely","Kiegybizsz","S1","S2","N1","N2","NullaErtek","NullaAfa","NullaOsszes","12Ertek","12Afa","12Osszes","25Ertek","25Afa","25Osszes","AMErtek","AMAfa","AMOsszes","MindErtek","MindAfa","MindOsszes","Azon","SzallitoNeve","SzallitVaros","SzallitoUtca","VevoNeve","VevoVaros","VevoUtca","AdoSzam","BankSzamla","PeldanyNev"
"13228","2017-02-06 00:00:00","55","/2017","2017-01-29 00:00:00","2017-02-04 00:00:00","303","2017-02-06 00:00:00","1","0","2017-02-06 00:00:00","","Készpénz","","",""," 55/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13229","2017-02-06 00:00:00","56","/2017","2017-01-29 00:00:00","2017-02-04 00:00:00","304","2017-02-06 00:00:00","1","0","2017-02-06 00:00:00","","Készpénz","","",""," 56/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13230","2017-02-06 00:00:00","57","/2017","2017-01-29 00:00:00","2017-02-04 00:00:00","19","2017-02-06 00:00:00","1","0","2017-02-06 00:00:00","","Készpénz","","",""," 57/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13231","2017-02-08 00:00:00","58","/2017","2017-01-01 00:00:00","2017-01-31 00:00:00","20","2017-02-08 00:00:00","1","0","2017-02-08 00:00:00","","Készpénz","","",""," 58/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13232","2017-02-13 00:00:00","59","/2017","2017-02-05 00:00:00","2017-02-11 00:00:00","256","2017-02-13 00:00:00","1","0","2017-02-13 00:00:00","","Készpénz","","",""," 59/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13233","2017-02-13 00:00:00","60","/2017","2017-02-05 00:00:00","2017-02-11 00:00:00","8","2017-02-13 00:00:00","1","0","2017-02-13 00:00:00","","Készpénz","","",""," 60/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13234","2017-02-13 00:00:00","61","/2017","2017-02-05 00:00:00","2017-02-11 00:00:00","16","2017-02-13 00:00:00","1","0","2017-02-13 00:00:00","","Készpénz","","",""," 61/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13235","2017-02-13 00:00:00","62","/2017","2017-02-05 00:00:00","2017-02-11 00:00:00","274","2017-02-13 00:00:00","1","0","2017-02-13 00:00:00","","Készpénz","","",""," 62/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13236","2017-02-13 00:00:00","63","/2017","2017-02-05 00:00:00","2017-02-11 00:00:00","53","2017-02-13 00:00:00","1","0","2017-02-13 00:00:00","","Készpénz","","",""," 63/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13237","2017-02-13 00:00:00","64","/2017","2017-02-05 00:00:00","2017-02-11 00:00:00","303","2017-02-13 00:00:00","1","0","2017-02-13 00:00:00","","Készpénz","","",""," 64/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13238","2017-02-13 00:00:00","65","/2017","2017-02-05 00:00:00","2017-02-11 00:00:00","304","2017-02-13 00:00:00","1","0","2017-02-13 00:00:00","","Készpénz","","",""," 65/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13239","2017-02-13 00:00:00","66","/2017","2017-02-05 00:00:00","2017-02-11 00:00:00","19","2017-02-13 00:00:00","1","0","2017-02-13 00:00:00","","Készpénz","","",""," 66/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13241","2017-02-20 00:00:00","68","/2017","2017-02-12 00:00:00","2017-02-18 00:00:00","256","2017-02-20 00:00:00","1","0","2017-02-20 00:00:00","","Készpénz","","",""," 68/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13242","2017-02-20 00:00:00","69","/2017","2017-02-12 00:00:00","2017-02-18 00:00:00","8","2017-02-20 00:00:00","1","0","2017-02-20 00:00:00","","Készpénz","","",""," 69/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13243","2017-02-20 00:00:00","70","/2017","2017-02-12 00:00:00","2017-02-18 00:00:00","16","2017-02-20 00:00:00","1","0","2017-02-20 00:00:00","","Készpénz","","",""," 70/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13244","2017-02-20 00:00:00","71","/2017","2017-02-12 00:00:00","2017-02-18 00:00:00","274","2017-02-20 00:00:00","1","0","2017-02-20 00:00:00","","Készpénz","","",""," 71/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13245","2017-02-20 00:00:00","72","/2017","2017-02-12 00:00:00","2017-02-18 00:00:00","53","2017-02-20 00:00:00","1","0","2017-02-20 00:00:00","","Készpénz","","",""," 72/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13246","2017-02-20 00:00:00","73","/2017","2017-02-12 00:00:00","2017-02-18 00:00:00","303","2017-02-20 00:00:00","1","0","2017-02-20 00:00:00","","Készpénz","","",""," 73/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13247","2017-02-20 00:00:00","74","/2017","2017-02-12 00:00:00","2017-02-18 00:00:00","304","2017-02-20 00:00:00","1","0","2017-02-20 00:00:00","","Készpénz","","",""," 74/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13248","2017-02-20 00:00:00","75","/2017","2017-02-12 00:00:00","2017-02-18 00:00:00","19","2017-02-20 00:00:00","1","0","2017-02-20 00:00:00","","Készpénz","","",""," 75/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13249","2017-02-20 00:00:00","76","/2017","2017-02-20 00:00:00","2017-02-20 00:00:00","8","2017-02-20 00:00:00","1","0","2017-02-20 00:00:00","","Készpénz","Visszáru számla","",""," 76/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13250","2017-02-22 00:00:00","77","/2017","2017-02-22 00:00:00","2017-02-22 00:00:00","8","2017-02-22 00:00:00","1","0","2017-02-22 00:00:00","","Készpénz","Visszáru számla","",""," 77/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13251","2017-02-27 00:00:00","78","/2017","2017-02-01 00:00:00","2017-02-28 00:00:00","115","2017-02-27 00:00:00","1","0","2017-02-27 00:00:00","","Készpénz","","",""," 78/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13252","2017-02-27 00:00:00","79","/2017","2017-02-01 00:00:00","2017-02-28 00:00:00","305","2017-02-27 00:00:00","1","0","2017-03-07 00:00:00","","Átutalás","","",""," 79/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13253","2017-02-27 00:00:00","80","/2017","2017-02-19 00:00:00","2017-02-25 00:00:00","256","2017-02-27 00:00:00","1","0","2017-02-27 00:00:00","","Készpénz","","",""," 80/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13254","2017-02-27 00:00:00","81","/2017","2017-02-20 00:00:00","2017-02-25 00:00:00","207","2017-02-27 00:00:00","1","0","2017-02-27 00:00:00","","Készpénz","","",""," 81/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13255","2017-02-27 00:00:00","82","/2017","2017-02-22 00:00:00","2017-02-25 00:00:00","133","2017-02-27 00:00:00","1","0","2017-02-27 00:00:00","","Készpénz","","",""," 82/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13256","2017-02-27 00:00:00","83","/2017","2017-02-01 00:00:00","2017-02-28 00:00:00","108","2017-02-27 00:00:00","1","0","2017-03-07 00:00:00","","Átutalás","","",""," 83/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13257","2017-02-27 00:00:00","84","/2017","2017-02-01 00:00:00","2017-02-28 00:00:00","162","2017-02-27 00:00:00","1","0","2017-03-09 00:00:00","","Átutalás","","",""," 84/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13258","2017-02-27 00:00:00","85","/2017","2017-02-19 00:00:00","2017-02-25 00:00:00","8","2017-02-27 00:00:00","1","0","2017-02-27 00:00:00","","Készpénz","","",""," 85/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13259","2017-02-27 00:00:00","86","/2017","2017-02-19 00:00:00","2017-02-25 00:00:00","16","2017-02-27 00:00:00","1","0","2017-02-27 00:00:00","","Készpénz","","",""," 86/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13260","2017-02-27 00:00:00","87","/2017","2017-02-19 00:00:00","2017-02-25 00:00:00","274","2017-02-27 00:00:00","1","0","2017-02-27 00:00:00","","Készpénz","","",""," 87/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13261","2017-02-27 00:00:00","88","/2017","2017-02-01 00:00:00","2017-02-28 00:00:00","111","2017-02-27 00:00:00","1","0","2017-03-07 00:00:00","","Átutalás","","",""," 88/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13262","2017-02-27 00:00:00","89","/2017","2017-02-19 00:00:00","2017-02-25 00:00:00","53","2017-02-27 00:00:00","1","0","2017-02-27 00:00:00","","Készpénz","","",""," 89/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13263","2017-02-27 00:00:00","90","/2017","2017-02-19 00:00:00","2017-02-25 00:00:00","303","2017-02-27 00:00:00","1","0","2017-02-27 00:00:00","","Készpénz","","",""," 90/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13264","2017-02-27 00:00:00","91","/2017","2017-02-01 00:00:00","2017-02-28 00:00:00","124","2017-02-27 00:00:00","1","0","2017-02-27 00:00:00","","Készpénz","","",""," 91/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13265","2017-02-27 00:00:00","92","/2017","2017-02-20 00:00:00","2017-02-25 00:00:00","17","2017-02-27 00:00:00","1","0","2017-02-27 00:00:00","","Készpénz","","",""," 92/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13266","2017-02-27 00:00:00","93","/2017","2017-02-19 00:00:00","2017-02-25 00:00:00","304","2017-02-27 00:00:00","1","0","2017-02-27 00:00:00","","Készpénz","","",""," 93/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
